year,sex,school_type,teachers_pri
1980,MF,Government,7244
1980,F,Government,4834
1980,MF,Government-Aided,2837
1980,F,Government-Aided,1908
1981,MF,Government,7260
1981,F,Government,4852
1981,MF,Government-Aided,2194
1981,F,Government-Aided,1430
1982,MF,Government,7437
1982,F,Government,4967
1982,MF,Government-Aided,2007
1982,F,Government-Aided,1327
1983,MF,Government,7854
1983,F,Government,5345
1983,MF,Government-Aided,2061
1983,F,Government-Aided,1429
1984,MF,Government,7958
1984,F,Government,5352
1984,MF,Government-Aided,2458
1984,F,Government-Aided,1793
1985,MF,Government,7917
1985,F,Government,5370
1985,MF,Government-Aided,2434
1985,F,Government-Aided,1810
1986,MF,Government,7921
1986,F,Government,5400
1986,MF,Government-Aided,2335
1986,F,Government-Aided,1759
1987,MF,Government,7893
1987,F,Government,5433
1987,MF,Government-Aided,2297
1987,F,Government-Aided,1752
1988,MF,Government,7798
1988,F,Government,5369
1988,MF,Government-Aided,2164
1988,F,Government-Aided,1665
1989,MF,Government,7797
1989,F,Government,5432
1989,MF,Government-Aided,2201
1989,F,Government-Aided,1714
1990,MF,Government,7848
1990,F,Government,5560
1990,MF,Government-Aided,2158
1990,F,Government-Aided,1673
1991,MF,Government,7677
1991,F,Government,5471
1991,MF,Government-Aided,2166
1991,F,Government-Aided,1697
1992,MF,Government,7682
1992,F,Government,5486
1992,MF,Government-Aided,2506
1992,F,Government-Aided,2021
1993,MF,Government,8173
1993,F,Government,6020
1993,MF,Government-Aided,2538
1993,F,Government-Aided,2087
1994,MF,Government,7930
1994,F,Government,5870
1994,MF,Government-Aided,2623
1994,F,Government-Aided,2169
1995,MF,Government,7770
1995,F,Government,5819
1995,MF,Government-Aided,2709
1995,F,Government-Aided,2265
1996,MF,Government,7867
1996,F,Government,5987
1996,MF,Government-Aided,2782
1996,F,Government-Aided,2352
1997,MF,Government,7901
1997,F,Government,6097
1997,MF,Government-Aided,2676
1997,F,Government-Aided,2269
1998,MF,Government,7994
1998,F,Government,5697
1998,MF,Government-Aided,2974
1998,F,Government-Aided,2114
1999,MF,Government,8223
1999,F,Government,6420
1999,MF,Government-Aided,3049
1999,F,Government-Aided,2574
2000,MF,Government,8659
2000,F,Government,6822
2000,MF,Government-Aided,3264
2000,F,Government-Aided,2767
2001,MF,Government,8777
2001,F,Government,7024
2001,MF,Government-Aided,3288
2001,F,Government-Aided,2796
2002,MF,Government,9082
2002,F,Government,7315
2002,MF,Government-Aided,3341
2002,F,Government-Aided,2860
2003,MF,Government,8757
2003,F,Government,7147
2003,MF,Government-Aided,3268
2003,F,Government-Aided,2804
2004,MF,Government,8884
2004,F,Government,7292
2004,MF,Government-Aided,3325
2004,F,Government-Aided,2859
2005,MF,Government,8959
2005,F,Government,7349
2005,MF,Government-Aided,3384
2005,F,Government-Aided,2894
2006,MF,Government,9080
2006,F,Government,7446
2006,MF,Government-Aided,3517
2006,F,Government-Aided,2997
2007,MF,Government,9284
2007,F,Government,7589
2007,MF,Government-Aided,3613
2007,F,Government-Aided,3061
2008,MF,Government,9434
2008,F,Government,7694
2008,MF,Government-Aided,3589
2008,F,Government-Aided,3011
2009,MF,Government,10066
2009,F,Government,8200
2009,MF,Government-Aided,3798
2009,F,Government-Aided,3205
2010,MF,Government,9892
2010,F,Government,8012
2010,MF,Government-Aided,3801
2010,F,Government-Aided,3219
2011,MF,Government,9936
2011,F,Government,8011
2011,MF,Government-Aided,3967
2011,F,Government-Aided,3341
2012,MF,Government,10219
2012,F,Government,8243
2012,MF,Government-Aided,4090
2012,F,Government-Aided,3446
2013,MF,Government,10553
2013,F,Government,8496
2013,MF,Government-Aided,4235
2013,F,Government-Aided,3550
2014,MF,Government,10541
2014,F,Government,8472
2014,MF,Government-Aided,4142
2014,F,Government-Aided,3478
2015,MF,Government,10740
2015,F,Government,8617
2015,MF,Government-Aided,4174
2015,F,Government-Aided,3497
2016,MF,Government,11161
2016,F,Government,8911
2016,MF,Government-Aided,4196
2016,F,Government-Aided,3506
2017,MF,Government,11339
2017,F,Government,9058
2017,MF,Government-Aided,4198
2017,F,Government-Aided,3493
2018,MF,Government,11559
2018,F,Government,9243
2018,MF,Government-Aided,4228
2018,F,Government-Aided,3504
2019,MF,Government,11629
2019,F,Government,9290
2019,MF,Government-Aided,4228
2019,F,Government-Aided,3509
2020,MF,Government,11799
2020,F,Government,9435
2020,MF,Government-Aided,4243
2020,F,Government-Aided,3520
2021,F,Government-Aided,3572
2021,F,Government,9431
2021,MF,Government-Aided,4286
2021,MF,Government,11790
2022,F,Government-Aided,3512
2022,F,Government,9289
2022,MF,Government-Aided,4222
2022,MF,Government,11631
2023,F,Government,9151
2023,F,Government-Aided,3454
2023,MF,Government,11478
2023,MF,Government-Aided,4159
2024,F,Government,8955
2024,F,Government-Aided,3330
2024,MF,Government,11245
2024,MF,Government-Aided,4028
